
[Name]
btm_1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], X [ m ], Y [ m ]
-5.83333313e-04, -1.00000005e-03, 1.49999996e-05, 4.78418213e+02, 0.00000000e+00, -2.41666675e-01, -5.83333313e-04, -1.00000005e-03
-5.00000024e-04, -1.00000005e-03, -1.49999996e-05, 5.11115295e+02, 0.00000000e+00, -2.50000000e-01, -5.00000024e-04, -1.00000005e-03
-5.00000024e-04, -1.00000005e-03, 1.49999996e-05, 5.11115295e+02, 0.00000000e+00, -2.50000000e-01, -5.00000024e-04, -1.00000005e-03
-4.16666677e-04, -1.00000005e-03, -1.49999996e-05, 5.49326538e+02, 0.00000000e+00, -2.58333325e-01, -4.16666677e-04, -1.00000005e-03
-4.16666677e-04, -1.00000005e-03, 1.49999996e-05, 5.49326538e+02, 0.00000000e+00, -2.58333325e-01, -4.16666677e-04, -1.00000005e-03
-3.33333330e-04, -1.00000005e-03, -1.49999996e-05, 5.94943115e+02, 0.00000000e+00, -2.66666651e-01, -3.33333330e-04, -1.00000005e-03
-3.33333330e-04, -1.00000005e-03, 1.49999996e-05, 5.94943115e+02, 0.00000000e+00, -2.66666651e-01, -3.33333330e-04, -1.00000005e-03
-2.50000012e-04, -1.00000005e-03, -1.49999996e-05, 6.41086914e+02, 0.00000000e+00, -2.75000006e-01, -2.50000012e-04, -1.00000005e-03
-2.50000012e-04, -1.00000005e-03, 1.49999996e-05, 6.41086914e+02, 0.00000000e+00, -2.75000006e-01, -2.50000012e-04, -1.00000005e-03
-1.66666665e-04, -1.00000005e-03, -1.49999996e-05, 6.78242249e+02, 0.00000000e+00, -2.83333331e-01, -1.66666665e-04, -1.00000005e-03
-1.66666665e-04, -1.00000005e-03, 1.49999996e-05, 6.78242249e+02, 0.00000000e+00, -2.83333331e-01, -1.66666665e-04, -1.00000005e-03

[Name]
inlet

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], X [ m ], Y [ m ]
-4.99999989e-03, 1.83333328e-03, 1.49999996e-05, -2.14568054e+02, 4.98827577e-01, -4.31711052e-15, -4.99999989e-03, 1.83333328e-03
-4.99999989e-03, 1.83333328e-03, -1.49999996e-05, -2.14568054e+02, 4.98827577e-01, -4.31711052e-15, -4.99999989e-03, 1.83333328e-03
-4.99999989e-03, 1.75000005e-03, -1.49999996e-05, -2.14043518e+02, 6.85763896e-01, 0.00000000e+00, -4.99999989e-03, 1.75000005e-03
-4.99999989e-03, 1.75000005e-03, 1.49999996e-05, -2.14043518e+02, 6.85763896e-01, 0.00000000e+00, -4.99999989e-03, 1.75000005e-03
-4.99999989e-03, 1.66666671e-03, -1.49999996e-05, -2.13639603e+02, 8.87152791e-01, 0.00000000e+00, -4.99999989e-03, 1.66666671e-03
-4.99999989e-03, 1.66666671e-03, 1.49999996e-05, -2.13639603e+02, 8.87152791e-01, 0.00000000e+00, -4.99999989e-03, 1.66666671e-03
-4.99999989e-03, 1.58333336e-03, -1.49999996e-05, -2.12652344e+02, 1.07465279e+00, 0.00000000e+00, -4.99999989e-03, 1.58333336e-03
-4.99999989e-03, 1.58333336e-03, 1.49999996e-05, -2.12652344e+02, 1.07465279e+00, 0.00000000e+00, -4.99999989e-03, 1.58333336e-03
-4.99999989e-03, 1.50000001e-03, -1.49999996e-05, -2.11172791e+02, 1.24826384e+00, 0.00000000e+00, -4.99999989e-03, 1.50000001e-03
